Class      Precision  Recall     F1-Score   Support   
-------------------------------------------------------
Plane      0.9271     0.9290     0.9281     1000      
Car        0.9593     0.9670     0.9631     1000      
Bird       0.9128     0.9000     0.9063     1000      
Cat        0.8423     0.8440     0.8432     1000      
Deer       0.9283     0.9320     0.9301     1000      
Dog        0.8875     0.8680     0.8777     1000      
Frog       0.9445     0.9530     0.9487     1000      
Horse      0.9427     0.9550     0.9488     1000      
Ship       0.9500     0.9500     0.9500     1000      
Truck      0.9509     0.9490     0.9499     1000      
