Name                                                          Type               Forward_MACs    FPercent    Memory      MPercent    Params    PPercent    InShape      OutShape
------------------------------------------------------------  -----------------  --------------  ----------  ----------  ----------  --------  ----------  -----------  -----------
/features/features.0/features.0.0/Conv                        Conv               372,736         3.95%       54,652      0.53%       351       0.71%       1x3x32x32    1x13x32x32
/features/features.0/features.0.2/Div                         Div                53,248          0.56%       53,248      0.51%       0         0.00%       1x13x32x32   1x13x32x32
/features/features.0/features.0.2/Erf                         Erf                0               0.00%       53,248      0.51%       0         0.00%       1x13x32x32   1x13x32x32
/features/features.0/features.0.2/Add                         Add                13,312          0.14%       53,248      0.51%       0         0.00%       1x13x32x32   1x13x32x32
/features/features.0/features.0.2/Mul                         Mul                13,312          0.14%       53,248      0.51%       0         0.00%       1x13x32x32   1x13x32x32
/features/features.0/features.0.2/Mul_1                       Mul                13,312          0.14%       53,248      0.51%       0         0.00%       1x13x32x32   1x13x32x32
/features/features.1/conv/conv.0/Conv                         Conv               133,120         1.41%       53,716      0.52%       117       0.24%       1x13x32x32   1x13x32x32
/features/features.1/conv/conv.2/Div                          Div                53,248          0.56%       53,248      0.51%       0         0.00%       1x13x32x32   1x13x32x32
/features/features.1/conv/conv.2/Erf                          Erf                0               0.00%       53,248      0.51%       0         0.00%       1x13x32x32   1x13x32x32
/features/features.1/conv/conv.2/Add                          Add                13,312          0.14%       53,248      0.51%       0         0.00%       1x13x32x32   1x13x32x32
/features/features.1/conv/conv.2/Mul                          Mul                13,312          0.14%       53,248      0.51%       0         0.00%       1x13x32x32   1x13x32x32
/features/features.1/conv/conv.2/Mul_1                        Mul                13,312          0.14%       53,248      0.51%       0         0.00%       1x13x32x32   1x13x32x32
/features/features.1/conv/conv.3/avg_pool/GlobalAveragePool   GlobalAveragePool  13,364          0.14%       52          0.00%       0         0.00%       1x13x32x32   1x13x1x1
/features/features.1/conv/conv.3/Transpose                    Transpose          0               0.00%       52          0.00%       0         0.00%       1x13x1       1x1x13
/features/features.1/conv/conv.3/conv/Conv                    Conv               65              0.00%       72          0.00%       5         0.01%       1x1x13       1x1x13
/features/features.1/conv/conv.3/sigmoid/Sigmoid              Sigmoid            416             0.00%       52          0.00%       0         0.00%       1x1x13       1x1x13
/features/features.1/conv/conv.3/Transpose_1                  Transpose          0               0.00%       52          0.00%       0         0.00%       1x1x13       1x13x1
/features/features.1/conv/conv.3/Mul                          Mul                13              0.00%       52          0.00%       0         0.00%       1x13x1x1     1x13x1x1
/features/features.1/conv/conv.3/Mul_1                        Mul                13              0.00%       52          0.00%       0         0.00%       1x13x1x1     1x13x1x1
/features/features.1/conv/conv.3/Add                          Add                13              0.00%       52          0.00%       0         0.00%       1x13x1x1     1x13x1x1
/features/features.1/conv/conv.3/Expand                       Expand             0               0.00%       53,248      0.51%       0         0.00%       1x13x1x1     1x13x32x32
/features/features.1/conv/conv.3/Mul_2                        Mul                13,312          0.14%       53,248      0.51%       0         0.00%       1x13x32x32   1x13x32x32
/features/features.1/conv/conv.4/Conv                         Conv               114,688         1.22%       33,184      0.32%       104       0.21%       1x13x32x32   1x8x32x32
/features/features.1/Mul                                      Mul                8,192           0.09%       32,768      0.32%       0         0.00%       1x8x32x32    1x8x32x32
/features/features.1/Mul_1                                    Mul                8,192           0.09%       32,768      0.32%       0         0.00%       1x8x32x32    1x8x32x32
/features/features.1/Add                                      Add                8,192           0.09%       32,768      0.32%       0         0.00%       1x8x32x32    1x8x32x32
/features/features.2/conv/conv.0/Conv                         Conv               81,920          0.87%       33,056      0.32%       72        0.15%       1x8x32x32    1x8x32x32
/features/features.2/conv/conv.2/Div                          Div                32,768          0.35%       32,768      0.32%       0         0.00%       1x8x32x32    1x8x32x32
/features/features.2/conv/conv.2/Erf                          Erf                0               0.00%       32,768      0.32%       0         0.00%       1x8x32x32    1x8x32x32
/features/features.2/conv/conv.2/Add                          Add                8,192           0.09%       32,768      0.32%       0         0.00%       1x8x32x32    1x8x32x32
/features/features.2/conv/conv.2/Mul                          Mul                8,192           0.09%       32,768      0.32%       0         0.00%       1x8x32x32    1x8x32x32
/features/features.2/conv/conv.2/Mul_1                        Mul                8,192           0.09%       32,768      0.32%       0         0.00%       1x8x32x32    1x8x32x32
/features/features.2/conv/conv.3/avg_pool/GlobalAveragePool   GlobalAveragePool  8,224           0.09%       32          0.00%       0         0.00%       1x8x32x32    1x8x1x1
/features/features.2/conv/conv.3/Transpose                    Transpose          0               0.00%       32          0.00%       0         0.00%       1x8x1        1x1x8
/features/features.2/conv/conv.3/conv/Conv                    Conv               40              0.00%       52          0.00%       5         0.01%       1x1x8        1x1x8
/features/features.2/conv/conv.3/sigmoid/Sigmoid              Sigmoid            256             0.00%       32          0.00%       0         0.00%       1x1x8        1x1x8
/features/features.2/conv/conv.3/Transpose_1                  Transpose          0               0.00%       32          0.00%       0         0.00%       1x1x8        1x8x1
/features/features.2/conv/conv.3/Mul                          Mul                8               0.00%       32          0.00%       0         0.00%       1x8x1x1      1x8x1x1
/features/features.2/conv/conv.3/Mul_1                        Mul                8               0.00%       32          0.00%       0         0.00%       1x8x1x1      1x8x1x1
/features/features.2/conv/conv.3/Add                          Add                8               0.00%       32          0.00%       0         0.00%       1x8x1x1      1x8x1x1
/features/features.2/conv/conv.3/Expand                       Expand             0               0.00%       32,768      0.32%       0         0.00%       1x8x1x1      1x8x32x32
/features/features.2/conv/conv.3/Mul_2                        Mul                8,192           0.09%       32,768      0.32%       0         0.00%       1x8x32x32    1x8x32x32
/features/features.2/conv/conv.4/Conv                         Conv               73,728          0.78%       33,024      0.32%       64        0.13%       1x8x32x32    1x8x32x32
/features/features.2/Mul                                      Mul                8,192           0.09%       32,768      0.32%       0         0.00%       1x8x32x32    1x8x32x32
/features/features.2/Mul_1                                    Mul                8,192           0.09%       32,768      0.32%       0         0.00%       1x8x32x32    1x8x32x32
/features/features.2/Add                                      Add                8,192           0.09%       32,768      0.32%       0         0.00%       1x8x32x32    1x8x32x32
/features/features.2/Add_1                                    Add                8,192           0.09%       32,768      0.32%       0         0.00%       1x8x32x32    1x8x32x32
/features/features.3/conv/conv.0/Conv                         Conv               442,368         4.69%       198,144     1.91%       384       0.78%       1x8x32x32    1x48x32x32
/features/features.3/conv/conv.2/Div                          Div                196,608         2.08%       196,608     1.90%       0         0.00%       1x48x32x32   1x48x32x32
/features/features.3/conv/conv.2/Erf                          Erf                0               0.00%       196,608     1.90%       0         0.00%       1x48x32x32   1x48x32x32
/features/features.3/conv/conv.2/Add                          Add                49,152          0.52%       196,608     1.90%       0         0.00%       1x48x32x32   1x48x32x32
/features/features.3/conv/conv.2/Mul                          Mul                49,152          0.52%       196,608     1.90%       0         0.00%       1x48x32x32   1x48x32x32
/features/features.3/conv/conv.2/Mul_1                        Mul                49,152          0.52%       196,608     1.90%       0         0.00%       1x48x32x32   1x48x32x32
/features/features.3/conv/conv.3/Conv                         Conv               122,880         1.30%       50,880      0.49%       432       0.87%       1x48x32x32   1x48x16x16
/features/features.3/conv/conv.5/Div                          Div                49,152          0.52%       49,152      0.47%       0         0.00%       1x48x16x16   1x48x16x16
/features/features.3/conv/conv.5/Erf                          Erf                0               0.00%       49,152      0.47%       0         0.00%       1x48x16x16   1x48x16x16
/features/features.3/conv/conv.5/Add                          Add                12,288          0.13%       49,152      0.47%       0         0.00%       1x48x16x16   1x48x16x16
/features/features.3/conv/conv.5/Mul                          Mul                12,288          0.13%       49,152      0.47%       0         0.00%       1x48x16x16   1x48x16x16
/features/features.3/conv/conv.5/Mul_1                        Mul                12,288          0.13%       49,152      0.47%       0         0.00%       1x48x16x16   1x48x16x16
/features/features.3/conv/conv.6/avg_pool/GlobalAveragePool   GlobalAveragePool  12,480          0.13%       192         0.00%       0         0.00%       1x48x16x16   1x48x1x1
/features/features.3/conv/conv.6/Transpose                    Transpose          0               0.00%       192         0.00%       0         0.00%       1x48x1       1x1x48
/features/features.3/conv/conv.6/conv/Conv                    Conv               240             0.00%       212         0.00%       5         0.01%       1x1x48       1x1x48
/features/features.3/conv/conv.6/sigmoid/Sigmoid              Sigmoid            1,536           0.02%       192         0.00%       0         0.00%       1x1x48       1x1x48
/features/features.3/conv/conv.6/Transpose_1                  Transpose          0               0.00%       192         0.00%       0         0.00%       1x1x48       1x48x1
/features/features.3/conv/conv.6/Mul                          Mul                48              0.00%       192         0.00%       0         0.00%       1x48x1x1     1x48x1x1
/features/features.3/conv/conv.6/Mul_1                        Mul                48              0.00%       192         0.00%       0         0.00%       1x48x1x1     1x48x1x1
/features/features.3/conv/conv.6/Add                          Add                48              0.00%       192         0.00%       0         0.00%       1x48x1x1     1x48x1x1
/features/features.3/conv/conv.6/Expand                       Expand             0               0.00%       49,152      0.47%       0         0.00%       1x48x1x1     1x48x16x16
/features/features.3/conv/conv.6/Mul_2                        Mul                12,288          0.13%       49,152      0.47%       0         0.00%       1x48x16x16   1x48x16x16
/features/features.3/conv/conv.7/Conv                         Conv               163,072         1.73%       15,808      0.15%       624       1.26%       1x48x16x16   1x13x16x16
/features/features.3/Mul                                      Mul                3,328           0.04%       13,312      0.13%       0         0.00%       1x13x16x16   1x13x16x16
/features/features.3/Mul_1                                    Mul                3,328           0.04%       13,312      0.13%       0         0.00%       1x13x16x16   1x13x16x16
/features/features.3/Add                                      Add                3,328           0.04%       13,312      0.13%       0         0.00%       1x13x16x16   1x13x16x16
/features/features.4/conv/conv.0/Conv                         Conv               279,552         2.96%       83,928      0.81%       1,014     2.05%       1x13x16x16   1x78x16x16
/features/features.4/conv/conv.2/Div                          Div                79,872          0.85%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.4/conv/conv.2/Erf                          Erf                0               0.00%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.4/conv/conv.2/Add                          Add                19,968          0.21%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.4/conv/conv.2/Mul                          Mul                19,968          0.21%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.4/conv/conv.2/Mul_1                        Mul                19,968          0.21%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.4/conv/conv.3/Conv                         Conv               199,680         2.12%       82,680      0.80%       702       1.42%       1x78x16x16   1x78x16x16
/features/features.4/conv/conv.5/Div                          Div                79,872          0.85%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.4/conv/conv.5/Erf                          Erf                0               0.00%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.4/conv/conv.5/Add                          Add                19,968          0.21%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.4/conv/conv.5/Mul                          Mul                19,968          0.21%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.4/conv/conv.5/Mul_1                        Mul                19,968          0.21%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.4/conv/conv.6/avg_pool/GlobalAveragePool   GlobalAveragePool  20,280          0.21%       312         0.00%       0         0.00%       1x78x16x16   1x78x1x1
/features/features.4/conv/conv.6/Transpose                    Transpose          0               0.00%       312         0.00%       0         0.00%       1x78x1       1x1x78
/features/features.4/conv/conv.6/conv/Conv                    Conv               546             0.01%       340         0.00%       7         0.01%       1x1x78       1x1x78
/features/features.4/conv/conv.6/sigmoid/Sigmoid              Sigmoid            2,496           0.03%       312         0.00%       0         0.00%       1x1x78       1x1x78
/features/features.4/conv/conv.6/Transpose_1                  Transpose          0               0.00%       312         0.00%       0         0.00%       1x1x78       1x78x1
/features/features.4/conv/conv.6/Mul                          Mul                78              0.00%       312         0.00%       0         0.00%       1x78x1x1     1x78x1x1
/features/features.4/conv/conv.6/Mul_1                        Mul                78              0.00%       312         0.00%       0         0.00%       1x78x1x1     1x78x1x1
/features/features.4/conv/conv.6/Add                          Add                78              0.00%       312         0.00%       0         0.00%       1x78x1x1     1x78x1x1
/features/features.4/conv/conv.6/Expand                       Expand             0               0.00%       79,872      0.77%       0         0.00%       1x78x1x1     1x78x16x16
/features/features.4/conv/conv.6/Mul_2                        Mul                19,968          0.21%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.4/conv/conv.7/Conv                         Conv               262,912         2.79%       17,368      0.17%       1,014     2.05%       1x78x16x16   1x13x16x16
/features/features.4/Mul                                      Mul                3,328           0.04%       13,312      0.13%       0         0.00%       1x13x16x16   1x13x16x16
/features/features.4/Mul_1                                    Mul                3,328           0.04%       13,312      0.13%       0         0.00%       1x13x16x16   1x13x16x16
/features/features.4/Add                                      Add                3,328           0.04%       13,312      0.13%       0         0.00%       1x13x16x16   1x13x16x16
/features/features.4/Add_1                                    Add                3,328           0.04%       13,312      0.13%       0         0.00%       1x13x16x16   1x13x16x16
/features/features.5/conv/conv.0/Conv                         Conv               279,552         2.96%       83,928      0.81%       1,014     2.05%       1x13x16x16   1x78x16x16
/features/features.5/conv/conv.2/Div                          Div                79,872          0.85%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.5/conv/conv.2/Erf                          Erf                0               0.00%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.5/conv/conv.2/Add                          Add                19,968          0.21%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.5/conv/conv.2/Mul                          Mul                19,968          0.21%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.5/conv/conv.2/Mul_1                        Mul                19,968          0.21%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.5/conv/conv.3/Conv                         Conv               199,680         2.12%       82,680      0.80%       702       1.42%       1x78x16x16   1x78x16x16
/features/features.5/conv/conv.5/Div                          Div                79,872          0.85%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.5/conv/conv.5/Erf                          Erf                0               0.00%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.5/conv/conv.5/Add                          Add                19,968          0.21%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
/features/features.5/conv/conv.5/Mul                          Mul                19,968          0.21%       79,872      0.77%       0         0.00%       1x78x16x16   1x78x16x16
